DUP_ID,UC1_COI,UC2_COI,UC3_COI,UC4_COI,UC5_COI,UC6_COI,UC7_COI,UC9_COI,UC10_COI,UC12_COI,UC13_COI,UC14_COI,UC15_COI,GOC2a_COI,GOC2b_COI,CP23_COI,UC3_2_COI,CP23_2_COI,UC3_1_COI,CP23_1_COI,NTC_2_COI
OTU_379,0,81,9,94,210,1293,26,431,144,154,110,29,95,0,3,0,5,0,0,0,0
OTU_380,0,0,0,0,1,0,0,0,0,0,0,35,1153,0,3,971,0,79,0,775,0
OTU_382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909
OTU_383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,862,0,1290,0,875,0
OTU_385,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,0,0,0,0,0,0
OTU_389,0,18,1145,0,1,0,0,0,0,0,12,0,0,0,0,2,260,0,543,0,0
OTU_394,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,0,0,0,0,0,0,0
OTU_396,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,407,0,632,0,446,0
OTU_401,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_402,0,0,4,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU_404,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,0,0
OTU_405,207,964,674,27,147,76,54,198,5,5,1,0,1,0,0,0,72,0,267,0,0
OTU_408,18,37,442,3,187,7,180,9,0,0,3,0,0,0,0,0,165,0,507,0,0
OTU_410,0,0,0,0,0,2,0,0,0,1,0,1964,95,3508,1267,81,0,28,0,160,0
OTU_412,0,0,0,0,0,0,0,0,0,0,0,1,2,1230,6,0,0,0,0,0,0
OTU_414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,0,0,0,0,0,0
OTU_417,1596,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0
OTU_418,0,0,715,8,167,159,0,0,0,0,0,0,0,0,0,0,184,0,187,0,0
OTU_419,1,0,0,53,55,0,45,0,3261,905,1162,1411,553,45,168,467,0,974,0,390,0
OTU_420,0,13,0,0,1229,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_425,0,0,0,0,0,0,0,4,0,36,257,170,605,232,226,55,0,0,0,33,0
OTU_427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0
OTU_428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,145,0,539,0
OTU_429,0,0,0,0,0,0,0,0,0,3,1,1027,53,1875,706,67,0,26,0,144,0
OTU_431,0,0,0,0,0,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0
OTU_434,0,0,911,23,0,0,32,0,1,0,0,0,0,0,0,0,33,0,354,0,0
OTU_436,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_438,0,0,0,0,0,0,1,0,74,146,580,36,1,173,334,0,0,1,0,0,0
OTU_440,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,3,0,0,0,0,0,0
OTU_445,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0
OTU_446,0,0,0,0,0,0,0,1,0,4,0,1431,67,2604,903,86,0,30,0,162,0
OTU_447,0,0,0,0,0,0,0,1057,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_449,15,10,0,495,178,4,4,1,275,49,51,144,25,127,3,1,30,36,3,0,0
OTU_450,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1048,0,0,0,0,0,0
OTU_451,0,0,0,0,0,0,0,0,0,0,26,39,0,847,255,16,0,0,0,10,0
OTU_454,0,0,0,0,0,0,0,0,75,9,846,19,211,0,0,0,0,0,0,0,0
OTU_456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,663,0
OTU_457,0,1,0,0,0,0,0,0,0,1,0,0,0,1084,531,17,0,108,0,9,0
OTU_458,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,0,0,0,0,0,0,0
OTU_460,0,0,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0
