OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_173849,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173850,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173870,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173897,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,s_
OTU_173903,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,s_
OTU_173923,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,s_
OTU_173925,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,s_
OTU_173928,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173929,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173930,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173945,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173947,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Pontellidae,g_,s_
OTU_173952,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173958,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173964,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173967,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173968,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173974,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173978,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173981,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173982,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173983,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173984,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173991,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_173995,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174004,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174012,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174014,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174017,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174019,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174021,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174026,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174028,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174049,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174050,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174058,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174062,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
