#OTU_ID	taxonomy
OTU_186203	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_186330	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_186434	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_355191	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_724	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_1313	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_5659	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_6145	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_6625	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_9265	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_9515	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_10414	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_13246	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_15860	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_16719	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_22285	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_25664	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_26120	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_34353	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_37512	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_38155	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_38381	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_59195	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
