V1;V3,V4,V5,V6,V7,V8,V9
OTU_186203;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_186330;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_186434;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_355191;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_724;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_1313;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_5659;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_6145;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_6625;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_9265;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_9515;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_10414;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_13246;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_15860;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_16719;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_22285;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_25664;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_26120;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_34353;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_37512;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_38155;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_38381;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_59195;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_89233;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_119969;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_167859;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_186163;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_186167;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_186367;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_186405;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_202102;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_348166;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_348169;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
OTU_348222;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Portunidae','g_','s_']
