#DUP_ID	UC1_COI	UC2_COI	UC3_COI	UC4_COI	UC5_COI	UC6_COI	UC7_COI	UC9_COI	UC10_COI	UC12_COI	UC13_COI	UC14_COI	UC15_COI	GOC2a_COI	GOC2b_COI	CP23_COI	UC3_2_COI	CP23_2_COI	UC3_1_COI	CP23_1_COI	NTC_2_COI	taxonomy
OTU_82	0	0	0	1	0	6881	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	k__Eukaryota; p__Mollusca; c__Gastropoda; o__Thecosomata; f__Peraclidae; g__Peracle; s__Peracle reticulata
OTU_83	0	0	0	0	0	18	0	0	624	584	727	791	511	803	7	1346	0	169	0	1362	0	k__Eukaryota; p__Chaetognatha; c__Sagittoidea; o__Aphragmophora; f__Krohnittidae; g__Krohnitta; s__Krohnitta subtilis
OTU_86	0	0	0	0	0	0	0	0	0	0	0	0	6288	0	0	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae;g__;s__
OTU_89	0	0	0	0	0	0	0	0	0	0	0	6367	0	0	0	0	0	0	0	0	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Agalmatidae; g__Agalma; s__Agalma elegans
OTU_90	0	0	0	2	0	0	0	0	0	1317	45	4707	689	0	6	0	0	0	0	0	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Trachymedusae; f__Rhopalonematidae; g__Aglaura; s__Aglaura hemistoma
OTU_94	156	28	1472	166	1693	220	2466	35	83	0	3	31	1	0	3	0	272	0	558	0	1	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Metridinidae; g__Pleuromamma; s__Pleuromamma borealis
OTU_95	2278	1994	0	1284	111	42	221	0	0	1	0	1	0	0	0	0	185	0	0	0	0	k__Eukaryota; p__Chaetognatha; c__Sagittoidea; o__Aphragmophora; f__Sagittidae; g__Sagitta; s__Sagitta setosa
OTU_96	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2930	0	0	1	2716	1	k__Eukaryota; p__Chordata; c__Actinopteri; o__Mugiliformes; f__Mugilidae; g__Mugil; s__Mugil cephalus
OTU_100	63	14	73	8	4603	2	1306	2	271	0	0	0	1	0	1	0	11	0	6	0	1	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
OTU_101	0	0	0	0	0	0	0	9053	1021	0	0	57	0	0	0	6	0	610	0	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nyctiphanes; s__Nyctiphanes simplex
