DUP_7896;size=54	
DUP_7944;size=42	
DUP_8094;size=43	
DUP_8170;size=77	
DUP_8174;size=95	
DUP_8363;size=348	
DUP_8365;size=126	
DUP_8368;size=193	
DUP_8370;size=57	
DUP_8566;size=46	
DUP_8584;size=79	
DUP_8734;size=42	
DUP_8735;size=209	
DUP_8758;size=51	
DUP_8818;size=64	
DUP_8819;size=65	
DUP_8984;size=38	
DUP_8986;size=92	
DUP_9215;size=68	
DUP_9258;size=143	
DUP_9307;size=40	
DUP_9477;size=38	
DUP_9480;size=46	
DUP_9508;size=40	
DUP_9511;size=210	
DUP_9595;size=101	
DUP_9596;size=35	
DUP_9599;size=35	
DUP_9764;size=123	
DUP_9804;size=42	
DUP_9805;size=75	
DUP_9882;size=46	
DUP_9888;size=67	
DUP_9889;size=77	
DUP_10090;size=250	
DUP_10092;size=73	
DUP_10410;size=83	
DUP_10412;size=81	
DUP_10518;size=38	
DUP_10530;size=37	
DUP_10534;size=48	
DUP_10776;size=31	
DUP_10778;size=31	
DUP_10782;size=72	
DUP_10925;size=31	
DUP_11086;size=33	
DUP_11158;size=35	
DUP_11221;size=108	
DUP_11257;size=30	
DUP_11446;size=51	
DUP_11464;size=38	
DUP_11508;size=37	
DUP_11509;size=71	
DUP_11622;size=29	
DUP_11627;size=174	
DUP_11914;size=30	
DUP_11916;size=64	
DUP_11944;size=42	
DUP_11962;size=34	
DUP_12046;size=59	
DUP_12057;size=30	
DUP_12105;size=32	
DUP_12285;size=32	
DUP_12317;size=51	
DUP_12322;size=118	
DUP_12417;size=27	
DUP_12428;size=37	
DUP_12438;size=45	
DUP_12449;size=66	
DUP_12455;size=52	
DUP_12459;size=27	
DUP_12467;size=27	
DUP_12758;size=73	
DUP_12807;size=97	
DUP_12808;size=63	
DUP_12810;size=28	
DUP_12811;size=168	
DUP_12812;size=29	
DUP_12913;size=46	
DUP_12967;size=26	
DUP_13314;size=28	
DUP_13315;size=30	
DUP_13320;size=39	
DUP_13502;size=172	
DUP_13509;size=29	
DUP_13511;size=42	
DUP_13515;size=35	
DUP_13516;size=88	
DUP_13813;size=25	
DUP_13831;size=25	
DUP_13868;size=114	
DUP_13871;size=28	
DUP_14027;size=26	
DUP_14062;size=101	
DUP_14063;size=26	
DUP_14069;size=55	
DUP_14077;size=102	
DUP_14082;size=83	
DUP_14088;size=50	
DUP_14089;size=46	
DUP_14090;size=127	
DUP_14096;size=24	
DUP_14099;size=26	
DUP_14465;size=79	
DUP_14507;size=33	
DUP_14510;size=25	
DUP_14512;size=25	
DUP_14514;size=28	
DUP_14705;size=23	
DUP_14707;size=27	
DUP_14712;size=23	
DUP_14716;size=208	
DUP_14719;size=23	
DUP_14764;size=25	
DUP_15048;size=31	
DUP_15111;size=28	
DUP_15136;size=44	
DUP_15137;size=42	
DUP_15138;size=24	
DUP_15139;size=26	
DUP_15140;size=24	
DUP_15141;size=22	
DUP_15142;size=22	
DUP_15143;size=40	
DUP_15144;size=65	
DUP_15146;size=37	
DUP_15361;size=22	
DUP_15362;size=24	
DUP_15375;size=30	
DUP_15376;size=22	
DUP_15377;size=30	
DUP_15379;size=65	
DUP_15380;size=32	
DUP_15387;size=53	
DUP_15389;size=26	
DUP_15778;size=24	
DUP_15846;size=29	
DUP_15847;size=65	
DUP_15848;size=21	
DUP_15851;size=54	
DUP_15854;size=21	
DUP_16052;size=21	
DUP_16098;size=75	
DUP_16099;size=38	
DUP_16113;size=28	
DUP_16118;size=21	
DUP_16119;size=21	
DUP_16122;size=106	
DUP_16123;size=57	
DUP_16141;size=23	
DUP_16650;size=99	
DUP_16651;size=35	
DUP_16652;size=20	
DUP_16653;size=59	
DUP_16654;size=75	
DUP_16655;size=23	
DUP_16658;size=20	
DUP_16869;size=27	
DUP_16901;size=67	
DUP_16908;size=30	
DUP_16912;size=20	
DUP_16915;size=20	
DUP_16916;size=70	
DUP_16919;size=20	
DUP_16921;size=33	
DUP_16922;size=22	
DUP_16923;size=27	
DUP_16936;size=34	
DUP_17451;size=24	
DUP_17521;size=82	
DUP_17523;size=87	
DUP_17524;size=19	
DUP_17525;size=23	
DUP_17529;size=57	
DUP_17530;size=43	
DUP_17531;size=19	
DUP_17534;size=28	
DUP_17535;size=40	
DUP_17536;size=19	
DUP_17538;size=39	
