,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC9,UC10,UC12,UC13,UC14,UC15,GOC2a,GOC2b,CP23,UC3_2,CP23_2,UC3_1,CP23_1,NTC_2
OTU_102106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_102112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
OTU_102113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
OTU_102115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_102116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
OTU_102119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_102121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
OTU_102122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_102147,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102149,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
OTU_102152,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_102153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU_102159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
OTU_102177,0,0,4,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0
OTU_102179,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10218,0,0,0,0,0,4,0,44,10,2,11,0,0,0,0,0,1,0,0,0,0
OTU_102180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
OTU_102182,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102183,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102186,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
OTU_10219,14,7,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10227,1,2,0,0,1,0,63,0,0,2,1,2,0,0,1,0,0,0,0,0,0
OTU_102278,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102279,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102280,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102282,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102283,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102284,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102286,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102288,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1023,0,0,0,0,0,0,0,0,7,52,59,146,477,309,249,35,0,8,0,38,0
OTU_102343,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102344,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU_102345,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
