"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_317515","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","g_","s_"
"OTU_317529","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","g_","s_"
"OTU_317548","Eukaryota","Bacillariophyta","Fragilariophyceae","Thalassionemales","Thalassionemataceae","g_","s_"
"OTU_317549","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","g_","s_"
"OTU_317553","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","g_","s_"
"OTU_317560","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","g_","s_"
"OTU_317563","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_317564","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_317566","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Scolecithrix","Scolecithrix danae"
"OTU_317570","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Scolecithrix","Scolecithrix danae"
"OTU_317575","","","","","","",""
"OTU_317579","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Scolecithrix","Scolecithrix danae"
