"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_101864","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101866","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101868","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101871","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101880","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101881","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101883","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101894","Eukaryota","Arthropoda","Malacostraca","Decapoda","f_","g_","s_"
"OTU_101898","Eukaryota","Arthropoda","Malacostraca","Decapoda","f_","g_","s_"
"OTU_10190","Eukaryota","Arthropoda","Hexanauplia","Calanoida","f_","g_","s_"
"OTU_101900","Eukaryota","Arthropoda","Malacostraca","Decapoda","f_","g_","s_"
"OTU_101903","Eukaryota","Arthropoda","Malacostraca","Decapoda","f_","g_","s_"
"OTU_101915","Eukaryota","Arthropoda","Malacostraca","Decapoda","f_","g_","s_"
"OTU_101916","Eukaryota","Arthropoda","Malacostraca","Decapoda","f_","g_","s_"
"OTU_101932","Eukaryota","Arthropoda","Malacostraca","Mysida","Mysidae","g_","s_"
"OTU_101935","Eukaryota","Arthropoda","Malacostraca","Mysida","Mysidae","g_","s_"
"OTU_101936","Eukaryota","Arthropoda","Malacostraca","Mysida","Mysidae","g_","s_"
"OTU_101937","Eukaryota","Arthropoda","Malacostraca","Mysida","Mysidae","g_","s_"
"OTU_101947","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","s_"
"OTU_101955","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes","Nyctiphanes simplex"
"OTU_101963","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
